Operateur;Latitude;Longitude;2G;3G;4G
20801;48.439503819052;-4.5144815186603;1;1;0
20820;48.4394957182647;-4.51446677444651;1;1;1
20815;48.4394965731094;-4.51445331498569;0;1;1
20820;48.3919390647577;-4.5063887661585;1;1;1
20810;48.3825241282915;-4.5043627405035;1;1;1
20801;48.4044856301535;-4.50734394168984;1;1;1
20810;48.4044783823209;-4.50731575778421;1;1;1
20801;48.3922214681799;-4.5053571875438;1;1;1
20810;48.391184273007;-4.50518157881401;1;1;1
20815;48.3912751233648;-4.50503174949821;0;1;1
20801;48.3869272285072;-4.50305261264677;1;0;0
20820;48.6108365805843;-4.53389659802467;1;1;0
20801;48.5658565142565;-4.52730183603775;0;1;0
20801;48.2713905184433;-4.48508198907465;0;0;0
20820;48.3859088630693;-4.50087169097436;1;1;1
20820;48.245267838096;-4.48028097515669;1;1;1
20801;48.3855527820061;-4.49921974046288;1;1;1
20801;48.4117915143142;-4.50187455229935;1;1;0
20820;48.4022401707985;-4.49972046709658;1;1;1
20815;48.4023386873182;-4.49973456173941;0;1;1
20810;48.4904909651992;-4.50992099051962;1;1;0
20820;48.4905485561178;-4.50972532725285;1;1;0
20810;48.4097901348369;-4.49738009820388;1;1;1
20815;48.4098750036505;-4.49732436747726;0;1;1
20801;48.5787593567007;-4.52090841829188;1;1;1
20815;48.3936960220088;-4.49422373145461;0;1;1
20801;48.3848651958284;-4.49267675960162;1;1;0
20810;48.3937446262129;-4.49374216097073;1;1;1
20820;47.9892477453024;-4.43423798277435;1;1;0
20815;47.9892485913132;-4.43422463637038;0;1;1
20801;48.4037724315075;-4.49280052044137;1;1;1
20810;47.9892450546347;-4.43399522696583;1;1;0
20810;48.4036432042471;-4.49270061387302;1;1;1
20810;48.390727976193;-4.49071931295471;1;1;1
20801;48.3903111808162;-4.48888223132892;1;1;1
20820;48.3963852022343;-4.48972272626699;1;1;1
20801;48.3963587500913;-4.48956967130754;1;1;1
20820;48.3885079591413;-4.48824477387694;0;0;1
20820;48.3913636220697;-4.48739067403712;1;1;1
20810;48.3972039360089;-4.48821120208882;1;1;1
20810;48.4162987990252;-4.49050517940151;1;1;1
20810;48.3867770483836;-4.48560961886629;1;1;0
20801;47.9862054723994;-4.42789910994999;1;1;0
20820;48.3913309845034;-4.48505211224664;1;0;0
20801;48.5383867917829;-4.50561570325454;1;1;0
20815;48.4244204825763;-4.48926293560871;0;1;0
20801;48.4244571586102;-4.48925459994367;1;1;1
20801;48.4996256900149;-4.49995985743078;1;1;0
20810;48.391819164066;-4.48376487464849;1;1;1
20801;48.3885697284537;-4.48327396567473;1;1;1
20820;48.3883333885744;-4.48272463882273;1;1;1
20801;48.393091706185;-4.48307805824909;1;1;1
20815;48.3976082206484;-4.48368201468735;0;1;1
20810;48.3977847578319;-4.48346294037933;1;1;1
20820;48.393732231656;-4.48266739627311;1;0;0
20801;48.3991741314682;-4.48264343297941;1;1;1
20815;48.5713939819553;-4.50693989998253;0;1;1
20820;48.5711300458386;-4.50668411827619;1;1;0
20801;48.3964410607907;-4.48127628508965;0;1;1
20810;48.396326331278;-4.48123277262853;1;1;1
20820;48.4170599038697;-4.4839074962434;1;1;1
20820;48.3934278536856;-4.48047995068369;1;0;1
20820;48.3929395112979;-4.48034242980991;1;1;1
20801;48.3932797671992;-4.47982105157465;0;0;0
20820;48.401101526511;-4.48046207774673;1;1;1
20801;48.4159668488354;-4.48061546644197;1;1;1
20801;48.3954779548226;-4.47535797776259;1;1;1
20801;48.4089128062561;-4.47712473700292;1;1;1
20810;48.3855563394164;-4.47162356827737;1;1;1
20810;48.3904572140066;-4.47229478551467;1;1;1
20801;48.3905723418787;-4.4721890733931;1;1;1
20820;48.3856236783503;-4.47141608321524;1;1;1
20810;48.4136932198036;-4.47498318508711;1;1;1
20810;48.3979668032805;-4.4727273038439;1;1;1
20810;48.3943385567804;-4.47193878091121;1;1;1
20820;48.4291207520185;-4.47653243373367;1;0;0
20801;48.2813767389636;-4.45469756099037;1;1;0
20815;48.4138373079378;-4.47256027206929;0;1;1
20810;48.3829495122085;-4.46739920199923;1;0;0
20815;48.4569828632374;-4.47779329448189;0;1;1
20820;48.4569871165908;-4.47772597178971;1;1;1
20801;48.0578106078261;-4.42077221419269;1;1;0
20801;48.4574173532025;-4.47735265459412;1;1;1
20810;48.4037339259505;-4.46826986927907;1;1;1
20815;48.4037437319554;-4.46825769423006;0;1;1
20801;48.4038716701039;-4.46823520508647;1;1;1
20801;48.4475709221464;-4.47371920246235;1;1;1
20801;48.6066321442032;-4.4956836404528;1;1;1
20810;48.6066014411955;-4.4955974816106;1;1;0
20820;48.4030656238256;-4.4649716895934;1;1;1
20810;48.4030754294969;-4.46495951408404;0;1;0
20820;48.3962647226266;-4.46261919290007;1;1;1
20815;48.3964118046909;-4.46243657682299;0;1;1
20810;48.3955337234734;-4.46117172611442;1;1;1
20801;48.3955819013222;-4.46112430278376;1;1;1
20820;48.4149831413471;-4.46357409668669;1;1;1
20810;48.407481089146;-4.46245158800539;1;1;1
20801;48.4150674456989;-4.46309740448539;0;1;0
20815;48.40687378661;-4.46104856653826;0;1;1
20810;48.428900032325;-4.46285442128704;1;1;1
20801;48.419807822563;-4.45929237870994;1;1;1
20810;48.4219016352675;-4.45876225344432;1;1;1
20801;48.4059842783704;-4.45623943602104;1;1;1
20820;48.4292854259936;-4.45831975745676;1;1;1
20801;48.4293003216536;-4.45822682807467;1;1;0
20815;48.4300481231387;-4.45754571177478;0;1;1
20820;48.4006680134623;-4.44896920116677;1;1;1
20801;48.3925379275928;-4.44777347203658;1;1;1
20810;48.3923515320644;-4.44771985803293;1;1;1
20815;48.391976441677;-4.44721881151932;0;1;1
20801;48.4012471782319;-4.44795223365638;1;1;1
20810;48.4004804147498;-4.44606550974811;1;1;1
20815;48.4004739994428;-4.44602388586538;0;1;1
20801;47.8056678927709;-4.3608575397558;1;1;1
20810;48.4570013394886;-4.4519964798205;1;1;1
20801;48.4570529023638;-4.45189513268187;1;1;0
20801;48.428513659869;-4.44259495772066;0;1;0
20801;47.8243637748756;-4.35636591184449;1;1;1
20820;48.3545558171144;-4.42997592350339;1;1;1
20820;47.9931533091088;-4.37825732175686;1;1;1
20810;48.405133559199;-4.43588242784927;1;1;1
20801;48.4050010998038;-4.43540219383738;1;1;0
20820;47.8097250680623;-4.35111504024971;1;1;1
20810;47.8097382125567;-4.35104976889282;1;1;1
20815;48.3563915539063;-4.42722571384294;0;1;1
20810;48.3562337054541;-4.42714913387891;1;1;1
20801;47.8132039040149;-4.34538402513313;0;1;1
20820;48.5309429290335;-4.44468461171495;1;1;1
20801;48.5310593537018;-4.44470118772883;1;1;0
20801;48.4985439288103;-4.43829362502877;0;1;0
20801;48.3990272173424;-4.4218939161731;1;1;0
20801;48.4223581761121;-4.42479100406895;0;1;0
20820;48.4070246451135;-4.41685092219109;1;1;1
20801;48.4119745538781;-4.41529817870407;1;1;0
20801;48.4387068569363;-4.41741174301973;1;1;1
20820;48.4383960982008;-4.41573811699936;1;1;1
20810;48.4386110590521;-4.41576854659661;1;1;1
20815;48.4384694391179;-4.4157213385841;0;1;0
20820;48.5041617092542;-4.42277538007271;1;1;1
20810;48.5041578194749;-4.42269324420245;1;1;1
20801;48.5041774205998;-4.42266883047043;1;1;1
20801;48.3975879089132;-4.4068042732759;1;1;1
20801;47.960511112951;-4.34304813301407;1;1;0
20810;48.0822738047362;-4.35356132410499;1;1;1
20820;48.0822567222673;-4.35354545529573;1;1;1
20815;48.082216353121;-4.35332402413828;0;1;1
20801;48.4342984685109;-4.40137540495351;1;1;1
20801;47.9986417089613;-4.33498800029088;1;1;0
20820;47.8164566975361;-4.30848683658845;1;1;1
20810;47.8164787798208;-4.30842278142851;1;1;1
20820;48.4099524277455;-4.38769042484538;1;1;1
20810;48.4098096884336;-4.38737171527369;1;1;1
20801;48.4099384510326;-4.38733557275768;1;1;0
20801;48.0896668010889;-4.34054928677911;1;1;1
20810;48.4215688929843;-4.38645003826418;1;1;1
20815;48.4217228448714;-4.38644458683754;0;1;1
20820;48.4216626659593;-4.38639537847053;1;1;1
20801;48.0809787283134;-4.33582033001849;1;1;1
20801;48.3756224311772;-4.37483921039184;1;1;1
20820;48.0932324196706;-4.32874235842742;0;1;0
20810;48.2275456814841;-4.34651929481082;1;1;0
20820;48.2276808998215;-4.34652465285978;1;1;1
20815;48.2276808998215;-4.34652465285978;0;1;1
20801;48.2275775734974;-4.34644259952029;1;1;1
20820;48.0911910663981;-4.32742003899142;1;1;1
20810;48.0977630422678;-4.32695695298915;1;1;0
20801;48.097728036736;-4.32693859875126;1;1;1
20815;47.9620216715929;-4.30802808244689;0;1;0
20810;47.9618499407158;-4.30788324284589;1;1;1
20801;48.0862025219815;-4.32466342986027;0;1;0
20810;48.3852682149564;-4.36564148455442;1;1;1
20801;48.385396973316;-4.36560530570456;1;0;0
20820;48.3852732429245;-4.36556079667572;1;1;0
20820;47.7954168213191;-4.28340152757319;1;1;1
20810;47.7954103463364;-4.28336039683295;1;1;1
20801;47.7954372321894;-4.28336408765681;0;1;0
20810;48.3707180832635;-4.3581330934606;1;1;1
20820;48.3708314366344;-4.35805406011035;1;1;1
20815;48.3707566766385;-4.35794864138924;0;1;1
20820;47.9173413248102;-4.29375161364894;1;1;1
20815;47.9173511161179;-4.29373951795922;0;1;1
20810;47.9173454753267;-4.29368496093528;1;1;1
20820;47.8401936947598;-4.28238458961183;1;1;1
20810;47.8401936947598;-4.28238458961183;1;1;1
20820;48.5311499020596;-4.37793132710579;1;1;0
20801;47.8063913479894;-4.27684498078505;1;1;1
20810;47.8534523981139;-4.28239364752452;1;1;0
20801;47.8337091885915;-4.27939979382669;1;1;0
20820;47.8059147119201;-4.27099710283798;1;1;0
20815;47.8059737316613;-4.2706295329347;0;1;1
20801;48.4580609356136;-4.35967331601054;1;1;1
20801;48.0856574259741;-4.29900103568439;1;1;1
20810;48.0856061566451;-4.29895347910274;1;1;0
20820;48.0855642000129;-4.29861048038925;1;1;1
20810;48.5361517557507;-4.35923673111618;1;1;0
20820;47.8983346394159;-4.26889041028667;1;1;1
20815;47.8983346394159;-4.26889041028667;0;1;1
20810;47.8983346394159;-4.26889041028667;1;1;1
20801;47.9136420275465;-4.26980934138276;1;1;0
20810;47.9888579380436;-4.27818852337963;1;1;0
20801;48.653347023465;-4.37001529605572;1;1;0
20820;48.6530044596708;-4.36985781680738;1;1;1
20810;48.6530475192696;-4.36945484523866;1;1;1
20820;48.4697243358401;-4.33056504192201;1;1;1
20810;48.4448341878417;-4.32572382724933;1;1;0
20820;48.4309043809979;-4.32364053579877;1;1;0
20801;47.860750029737;-4.24258242173434;0;1;1
20820;48.57305152261;-4.33557222603735;1;1;1
20801;48.5729759199425;-4.33547992923078;1;1;1
20815;48.391632265366;-4.30998867418037;0;1;1
20810;48.389967186375;-4.30886121662571;1;1;0
20801;48.3825476797606;-4.30756957288662;1;1;1
20810;48.5712953873893;-4.33299780610002;1;0;0
20810;47.8047121856713;-4.22611756796493;1;1;0
20801;47.8048409506352;-4.22608144624066;1;1;0
20801;47.9954278068274;-4.24710221084262;1;1;0
20810;48.0426390759414;-4.25336619339138;1;1;1
20815;48.5789897094151;-4.32631708776327;0;1;1
20801;48.5790263694548;-4.32630861347897;1;1;0
20801;48.3294740557722;-4.28781130115649;1;1;0
20820;48.329450496201;-4.28775383081771;1;1;0
20815;48.3294602841898;-4.28774163935721;0;1;1
20810;47.8772376462637;-4.22469927392454;1;1;1
20801;47.8772580374057;-4.22466175379998;1;1;1
20820;47.8775726174838;-4.22454345148364;1;1;1
20801;47.8633758523121;-4.22232579457226;1;1;1
20801;48.5625841845781;-4.31869540037344;1;1;0
20820;48.0356583884215;-4.24509087903117;1;1;0
20820;48.5342780701415;-4.30348367590602;1;1;0
20810;48.5341321584551;-4.30291916958028;1;1;0
20815;48.5337667548737;-4.3026912987331;0;1;1
20801;48.5337742316718;-4.30256991519167;1;1;0
20820;48.0209052432116;-4.23066128560384;1;1;0
20815;48.0211106203592;-4.23055469444088;0;1;1
20820;48.3711057282378;-4.27584359021949;1;1;1
20820;47.8336084156087;-4.19750633641795;1;1;1
20810;47.8335611934439;-4.19739254808514;1;1;1
20801;47.8106149716191;-4.19151523201548;0;1;0
20810;48.0311519127894;-4.21937276779107;1;1;0
20810;48.4531063494077;-4.27583908290425;1;1;0
20801;48.4263706113501;-4.26911348385568;1;1;1
20810;48.6031610792047;-4.29204559039334;1;1;0
20815;48.6030962332825;-4.29104220926098;0;1;0
20801;48.444956806876;-4.26525581449169;1;1;0
20820;48.4625302464767;-4.26596868703527;1;1;0
20801;48.1297829798576;-4.21865353781079;1;1;1
20801;48.4655577791339;-4.26492161941976;1;1;0
20820;48.1299052201642;-4.21857579276934;1;1;1
20815;48.1299060416272;-4.21856240745252;0;1;1
20820;48.0479563882751;-4.2069268395148;1;1;0
20810;48.4592623513586;-4.26254058551726;1;1;1
20815;48.4591371977036;-4.26222440166933;0;1;1
20815;48.3630513841737;-4.24694582076152;0;1;1
20810;48.3642310058609;-4.24671555180329;1;1;0
20801;48.3646735155392;-4.24642414745639;1;1;1
20815;47.8265185850017;-4.17198495124603;0;1;1
20810;47.9839444496103;-4.19303139361084;1;1;1
20801;47.9842507909682;-4.1930461548886;1;1;0
20820;47.9839420368147;-4.19292338339058;1;1;1
20815;47.9839518173307;-4.19291125389278;0;1;1
20820;47.8269407094087;-4.17158575748061;1;1;1
20801;47.8268975272054;-4.17155307714744;1;1;1
20810;48.4831939210925;-4.25974563088202;1;1;1
20801;48.4833128533884;-4.25972135727235;1;0;0
20820;48.4833307694691;-4.25972384198935;1;1;1
20815;48.4833307694691;-4.25972384198935;0;1;0
20820;47.9455984934055;-4.18394406745256;1;1;1
20810;47.9456473925046;-4.18388345547594;1;1;1
20810;47.8824290952391;-4.1665639767906;1;1;1
